id,routine_id,routine_name,step_number,step_description,encouragement,age_group,dlss_domain,requires_adult
304,65,Clean Litterbox,5,Wash hands,So fresh and so clean!,11 to 13,Home Management,No
305,66,Clean Litterbox,1,Get gloves and scooper,Ready to go!,8 to 10,Home Management,Yes
306,66,Clean Litterbox,2,Scoop out clumps into trash bag,You’re doing it!,8 to 10,Home Management,Yes
307,66,Clean Litterbox,3,Add fresh litter if needed,Almost done!,8 to 10,Home Management,Yes
308,66,Clean Litterbox,4,Seal and throw away trash,Good work!,8 to 10,Home Management,Yes
309,66,Clean Litterbox,5,Wash hands,So fresh and so clean!,8 to 10,Home Management,No
310,67,Check School Fold er,1,Take out the Fold er,Great start!,11 to 13,Communication/Organization,No
311,67,Check School Fold er,2,Open and look inside,You're being responsible!,11 to 13,Communication/Organization,No
312,67,Check School Fold er,3,Pull out important papers,You’re doing great!,11 to 13,Communication/Organization,No
313,67,Check School Fold er,4,Show signed papers to adult,Almost done!,11 to 13,Communication/Organization,Yes
314,67,Check School Fold er,5,Return papers to Fold er,All done!,11 to 13,Communication/Organization,No
315,68,Bathtime,1,Get towel,Great job getting ready!,11 to 13,Personal Hygiene,No
316,68,Bathtime,2,Turn on Water ,Nice and warm!,11 to 13,Personal Hygiene,No
317,68,Bathtime,3,Get in tub,Time to get clean!,11 to 13,Personal Hygiene,No
318,68,Bathtime,4,Wash body,Making those bubbles work!,11 to 13,Personal Hygiene,No
319,68,Bathtime,5,Rinse,Like a champ!,11 to 13,Personal Hygiene,No
320,68,Bathtime,6,Dry off,So fresh and so clean!,11 to 13,Personal Hygiene,No
321,68,Bathtime,7,Put on clothes,Spiffy!,11 to 13,Personal Hygiene,No
322,68,Bathtime,8,Get soap,Smells good!,11 to 13,Personal Hygiene,No
323,68,Bathtime,9,Get bath sponge or washcloth,Getting ready!,11 to 13,Personal Hygiene,No
324,68,Bathtime,10,Fill tub with warm Water ,Not too much Water !,11 to 13,Personal Hygiene,No
325,68,Bathtime,11,Turn off Water ,Good job!,11 to 13,Personal Hygiene,No
326,70,Empty Small Trash Bins,1,Take out small trash bag,You’re doing great!,11 to 13,Home Management,No
327,70,Empty Small Trash Bins,2,Tie up the bag,Almost done!,11 to 13,Home Management,No
328,70,Empty Small Trash Bins,3,Place in bigger trash bin,Strong and helpful!,11 to 13,Home Management,No
329,70,Empty Small Trash Bins,4,Put in a new trash liner,Great finishing touch!,11 to 13,Home Management,No
330,71,Empty Small Trash Bins,1,Take out small trash bag,You’re doing great!,8 to 10,Home Management,No
331,71,Empty Small Trash Bins,2,Tie up the bag,Almost done!,8 to 10,Home Management,No
332,71,Empty Small Trash Bins,3,Place in bigger trash bin,Strong and helpful!,8 to 10,Home Management,No
333,71,Empty Small Trash Bins,4,Put in a new trash liner,Great finishing touch!,8 to 10,Home Management,No
334,72,Floss,1,Get floss from cabinet,You’re taking care of you!,8 to 10,Personal Hygiene,No
335,72,Floss,2,Cut or pull out a piece,Great start!,8 to 10,Personal Hygiene,No
336,72,Floss,3,Gently floss between teeth,Careful and clean!,8 to 10,Personal Hygiene,Yes
337,72,Floss,4,Throw Use d floss in trash,All done! Nice job!,8 to 10,Personal Hygiene,No
338,72,Floss,5,Rinse mouth with Water ,Sparkly smile!,8 to 10,Personal Hygiene,No
339,73,Floss,1,Get floss from cabinet,You’re taking care of you!,11 to 13,Personal Hygiene,No
340,73,Floss,2,Cut or pull out a piece,Great start!,11 to 13,Personal Hygiene,No
341,73,Floss,3,Gently floss between teeth,Careful and clean!,11 to 13,Personal Hygiene,No
342,73,Floss,4,Throw Use d floss in trash,All done! Nice job!,11 to 13,Personal Hygiene,No
343,73,Floss,5,Rinse mouth with Water ,Sparkly smile!,11 to 13,Personal Hygiene,No
344,74,Put Dirty Clothes In Hamper,1,Pick up clothes,High five!,14 to 16,Home Management,No
345,74,Put Dirty Clothes In Hamper,2,Carry to hamper,Thanks for helping out!,14 to 16,Home Management,No
346,74,Put Dirty Clothes In Hamper,3,Place inside,Your clothes will love it here!,14 to 16,Home Management,No
347,75,Brush Teeth,1,Pick up toothbrush,You've got this!,14 to 16,Personal Hygiene,No
348,75,Brush Teeth,2,Apply toothpaste,Brushing your teeth keeps you healthy!,14 to 16,Personal Hygiene,No
349,75,Brush Teeth,3,Brush top teeth,Your smile is getting brighter!,14 to 16,Personal Hygiene,No
350,75,Brush Teeth,4,Brush bottom teeth,You're brushing like a pro!,14 to 16,Personal Hygiene,No
351,75,Brush Teeth,5,Rinse mouth,Fresh breath and clean teeth!,14 to 16,Personal Hygiene,No
352,75,Brush Teeth,6,Put away toothbrush,Everything in its place!,14 to 16,Personal Hygiene,No
353,76,Clean Room,1,Pick up toys,Step by step!,14 to 16,Home Management,No
354,76,Clean Room,2,Put clothes in hamper,Everything looks so neat!,14 to 16,Home Management,No
355,76,Clean Room,3,Make bed,Tidy up!,14 to 16,Home Management,No
356,76,Clean Room,4,Vacuum floor,Vroom vroom!,14 to 16,Home Management,No
357,77,Put Away Clothes,1,Take Fold ed clothes,Ready to get started!,14 to 16,Communication/Organization,No
358,77,Put Away Clothes,2,Open drawer,Way to go!,14 to 16,Communication/Organization,No
359,77,Put Away Clothes,3,Place clothes inside,All tucked in!,14 to 16,Communication/Organization,No
360,77,Put Away Clothes,4,Close drawer,That drawer looks so neat!,14 to 16,Communication/Organization,No
361,78,Help Set The Table,1,Get plates,You are a great helper!,14 to 16,Home Management,No
362,78,Help Set The Table,2,Place on table,Making mealitme special!,14 to 16,Home Management,No
363,78,Help Set The Table,3,Get utensils,Forks and knives and spoons!,14 to 16,Home Management,No
364,78,Help Set The Table,4,Place utensils on table,Thank you for being careful!,14 to 16,Home Management,No
365,78,Help Set The Table,5,Add napkins,Almost ready to eat!,14 to 16,Home Management,No
366,78,Help Set The Table,6,Place napkins on table,Good job!,14 to 16,Home Management,No
367,79,Make Sandwich,1,Get bread,Sandwiches are yummy!,14 to 16,Meal Preparation,No
368,79,Make Sandwich,2,Add filling,You are doing great!,14 to 16,Meal Preparation,No
369,79,Make Sandwich,3,Add top slice,Look at the sandwich!,14 to 16,Meal Preparation,No
370,79,Make Sandwich,4,Place on plate,That looks tasty!,14 to 16,Meal Preparation,No
371,80,Pack Backpack,1,Collect homework,Off to a great start!,14 to 16,Communication/Organization,No
372,80,Pack Backpack,2,Add lunchbox,So proud of you!,14 to 16,Communication/Organization,No
373,80,Pack Backpack,3,Check for supplies,You are so organized!,14 to 16,Communication/Organization,No
374,80,Pack Backpack,4,Zip backpack,You're a packing pro!,14 to 16,Communication/Organization,No
375,80,Pack Backpack,5,Place by door,Ready for success!,14 to 16,Communication/Organization,No
376,81,Put Away Backpack,1,Get backpack,Being organized is awesome!,14 to 16,Communication/Organization,No
377,81,Put Away Backpack,2,Unzip and remove items,Look at you go!,14 to 16,Communication/Organization,No
378,81,Put Away Backpack,3,Put homework on desk,Everything looks so neat!,14 to 16,Communication/Organization,No
379,81,Put Away Backpack,4,Hang backpack,Ready for success!,14 to 16,Communication/Organization,No
380,82,Wash Hands,1,Turn on Water ,Way to go!,14 to 16,Personal Hygiene,No
381,82,Wash Hands,2,Wet hands,Washing your hands is important!,14 to 16,Personal Hygiene,No
382,82,Wash Hands,3,Apply soap,Smells good!,14 to 16,Personal Hygiene,No
383,82,Wash Hands,4,Scrub hands,"Scrub, scrub, scrub!",14 to 16,Personal Hygiene,No
384,82,Wash Hands,5,Rinse soap,Let's wash away those germs!,14 to 16,Personal Hygiene,No
385,82,Wash Hands,6,Turn off Water ,Clean hands keep everyone safe!,14 to 16,Personal Hygiene,No
386,82,Wash Hands,7,Dry hands,Nice and dry!,14 to 16,Personal Hygiene,No
387,83,Pick A Bedtime Story,1,Go to bookshelf,Books are a great way to end the day!,14 to 16,Communication/Organization,No
388,83,Pick A Bedtime Story,2,Choose a book,Great choice!,14 to 16,Communication/Organization,No
389,83,Pick A Bedtime Story,3,Show to parent,It's fun to read together!,14 to 16,Communication/Organization,No
390,83,Pick A Bedtime Story,4,Snuggle in bed,Nice and cozy!,14 to 16,Communication/Organization,No
391,84,Bathtime,1,Get towel,Great job getting ready!,14 to 16,Personal Hygiene,No
392,84,Bathtime,2,Get soap,Smells good!,14 to 16,Personal Hygiene,No
393,84,Bathtime,3,Get bath sponge or washcloth,Getting ready!,14 to 16,Personal Hygiene,No
394,84,Bathtime,4,Turn on Water ,Nice and warm!,14 to 16,Personal Hygiene,No
395,84,Bathtime,5,Fill tub with warm Water ,Not too much Water !,14 to 16,Personal Hygiene,No
396,84,Bathtime,6,Turn off Water ,Good job!,14 to 16,Personal Hygiene,No
397,84,Bathtime,7,Get in tub,Time to get clean!,14 to 16,Personal Hygiene,No
398,84,Bathtime,8,Wash body,Making those bubbles work!,14 to 16,Personal Hygiene,No
399,84,Bathtime,9,Rinse,Like a champ!,14 to 16,Personal Hygiene,No
400,84,Bathtime,10,Dry off,So fresh and so clean!,14 to 16,Personal Hygiene,No
401,84,Bathtime,11,Put on clothes,Spiffy!,14 to 16,Personal Hygiene,No
402,85,Organize Desk,1,Clear off trash,Awesome job!,14 to 16,Communication/Organization,No
403,85,Organize Desk,2,Stack books,Nice and neat!,14 to 16,Communication/Organization,No
404,85,Organize Desk,3,Put pens in holder,Look how neat!,14 to 16,Communication/Organization,No
405,85,Organize Desk,4,Wipe surface,Nice and neat!,14 to 16,Communication/Organization,No
406,86,Fold Clothes,1,Gather clean clothes,Ready to Fold !,14 to 16,Dressing,No
407,86,Fold Clothes,2,Lay flat,That looks great!,14 to 16,Dressing,No
408,86,Fold Clothes,3,Fold each item,You're a Fold ing superstar!,14 to 16,Dressing,No
409,86,Fold Clothes,4,Stack neatly,Nice and neat!,14 to 16,Dressing,No
410,87,Feed Cat,1,Get cat food,Taking good care of our kitty!,14 to 16,Home Management,No
411,87,Feed Dog,2,Get dog food,Taking good care of our pup!,14 to 16,Home Management,No
412,87,Feed Cat,3,Measure portion,Good job!,14 to 16,Home Management,No
413,87,Feed Dog,4,Measure portion,Feeding the dog is important!,14 to 16,Home Management,No
414,87,Feed Cat,5,Pour into bowl,Into the bowl it goes!,14 to 16,Home Management,No
415,87,Feed Dog,6,Pour into bowl,The dog loves you for feeding him!,14 to 16,Home Management,No
416,87,Feed Cat,7,Refill Water bowl,Cats get thirsty sometimes!,14 to 16,Home Management,No
417,87,Feed Dog,8,Refill Water bowl,Dogs get thirsty sometimes!,14 to 16,Home Management,No
418,88,Feed Fish,1,Get fish food,The fish are ready to eat!,14 to 16,Home Management,No
419,88,Feed Fish,2,Measure portion,Just the right amount!,14 to 16,Home Management,No
420,88,Feed Fish,3,Pour into bowl,You're a great fish friend!,14 to 16,Home Management,No
421,89,Make Cereal,1,Get cereal,Great choice!,14 to 16,Meal Preparation,No
422,89,Make Cereal,2,Get bowl,Awesome job!,14 to 16,Meal Preparation,No
423,89,Make Cereal,3,Get spoon,Way to go!,14 to 16,Meal Preparation,No
424,89,Make Cereal,4,Pour milk,I love how careful you're being!,14 to 16,Meal Preparation,No
425,89,Make Cereal,5,Add cereal,Yum!,14 to 16,Meal Preparation,No
426,90,Brush Cat,1,Get cat brush,You're doing great!,14 to 16,Home Management,No
427,90,Brush Cat,2,Sit near cat calmly,So gentle!,14 to 16,Home Management,No
428,90,Brush Cat,3,Brush cat's back slowly,Nice work!,14 to 16,Home Management,No
429,90,Brush Cat,4,Brush sides gently,Almost done!,14 to 16,Home Management,No
430,90,Brush Cat,5,Give cat a treat,Well done!,14 to 16,Home Management,No
431,91,Choose Clothes For The Day,1,Check the weather,Smart thinking!,14 to 16,Dressing,Yes
432,91,Choose Clothes For The Day,2,Pick shirt and pants,Nice choice!,14 to 16,Dressing,No
433,91,Choose Clothes For The Day,3,Pick socks and underwear,Almost done!,14 to 16,Dressing,No
434,91,Choose Clothes For The Day,4,Set clothes on bed,You are ready!,14 to 16,Dressing,No
435,91,Feed Fish,5,Put away fish food,Everything in its place!,14 to 16,Home Management,No
436,91,Feed Cat,6,Put away cat food,Everything in its place!,14 to 16,Home Management,No
437,91,Feed Dog,7,Puy away dog food,Everything in its place!,14 to 16,Home Management,No
438,91,Make Cereal,8,Put away cereal,Everything in its place!,14 to 16,Meal Preparation,No
439,92,Catch Schoolbus,1,Get backpack ready,You're on time!,14 to 16,Community/School Related,No
440,92,Catch Schoolbus,2,Put on shoes and coat,Almost there!,14 to 16,Community/School Related,No
441,92,Catch Schoolbus,3,Wait at the bus stop,Good job waiting!,14 to 16,Community/School Related,No
442,92,Catch Schoolbus,4,Get on the bus safely,You did it!,14 to 16,Community/School Related,No
443,93,Charge Tablet/Device,1,Find charger,Great memory!,14 to 16,Communication/Organization,No
444,93,Charge Tablet/Device,2,Plug charger into wall,Nice job!,14 to 16,Communication/Organization,No
445,93,Charge Tablet/Device,3,Plug cable into tablet,Almost done!,14 to 16,Communication/Organization,No
446,93,Charge Tablet/Device,4,Make sure it’s charging,All set!,14 to 16,Communication/Organization,No
447,94,Brush Dog,1,Get the dog brush,You're getting ready!,14 to 16,Home Management,No
448,94,Brush Dog,2,Ask the dog to sit,Great asking skills!,14 to 16,Home Management,Yes
449,94,Brush Dog,3,Gently brush the dog's back,You're doing awesome!,14 to 16,Home Management,Yes
450,94,Brush Dog,4,Brush behind ears and legs,Keep it gentle!,14 to 16,Home Management,Yes
451,94,Brush Dog,5,Put the brush away,All done—great work!,14 to 16,Home Management,No
452,95,Check Calendar,1,Find your calendar,Let's plan your day!,14 to 16,Communication/Organization,No
453,95,Check Calendar,2,Look at today’s date,You're focUse d!,14 to 16,Communication/Organization,No
454,95,Check Calendar,3,Read your schedule,Almost there!,14 to 16,Communication/Organization,No
455,95,Check Calendar,4,Decide what to do first,You’ve got a plan!,14 to 16,Communication/Organization,No
456,96,Check School Fold er,1,Take out the Fold er,Great start!,14 to 16,Communication/Organization,No
457,96,Check School Fold er,2,Open and look inside,You're being responsible!,14 to 16,Communication/Organization,No
458,96,Check School Fold er,3,Pull out important papers,You’re doing great!,14 to 16,Communication/Organization,No
459,96,Check School Fold er,4,Show signed papers to adult,Almost done!,14 to 16,Communication/Organization,Yes
460,96,Check School Fold er,5,Return papers to Fold er,All done!,14 to 16,Communication/Organization,No
461,97,Clean Litterbox,1,Get gloves and scooper,Ready to go!,14 to 16,Home Management,No
462,97,Clean Litterbox,2,Scoop out clumps into trash bag,You’re doing it!,14 to 16,Home Management,No
463,97,Clean Litterbox,3,Add fresh litter if needed,Almost done!,14 to 16,Home Management,No
464,97,Clean Litterbox,4,Seal and throw away trash,Good work!,14 to 16,Home Management,No
465,97,Clean Litterbox,5,Wash hands,So fresh and so clean!,14 to 16,Home Management,No
466,98,Do Homework,1,Find a quiet place to sit,You've got this!,14 to 16,Community/School Related,No
467,98,Do Homework,2,Take out homework materials,You're prepared!,14 to 16,Community/School Related,No
468,98,Do Homework,3,Read instructions carefully,Nice reading focus!,14 to 16,Community/School Related,No
469,98,Do Homework,4,Try your best to complete work,Keep going! You're learning!,14 to 16,Community/School Related,No
470,98,Do Homework,5,Put finished work in Fold er,You're so responsible!,14 to 16,Community/School Related,No
471,100,Empty Small Trash Bins,1,Take out small trash bag,You’re doing great!,14 to 16,Home Management,No
472,100,Empty Small Trash Bins,2,Tie up the bag,Almost done!,14 to 16,Home Management,No
473,100,Empty Small Trash Bins,3,Place in bigger trash bin,Strong and helpful!,14 to 16,Home Management,No
474,100,Empty Small Trash Bins,4,Put in a new trash liner,Great finishing touch!,14 to 16,Home Management,No
475,101,Floss,1,Get floss from cabinet,You’re taking care of you!,14 to 16,Personal Hygiene,No
476,101,Floss,2,Cut or pull out a piece,Great start!,14 to 16,Personal Hygiene,No
477,101,Floss,3,Gently floss between teeth,Careful and clean!,14 to 16,Personal Hygiene,No
478,101,Floss,4,Throw Use d floss in trash,All done! Nice job!,14 to 16,Personal Hygiene,No
479,101,Floss,5,Rinse mouth with Water ,Sparkly smile!,14 to 16,Personal Hygiene,No
480,102,Fold Towels,1,Lay towel flat on surface,You're on a roll!,8 to 10,Home Management,No
481,102,Fold Towels,2,Fold towel in half,Looks neat!,8 to 10,Home Management,No
482,102,Fold Towels,3,Fold it again into a square,Almost done!,8 to 10,Home Management,No
483,102,Fold Towels,4,Stack neatly in pile,So organized!,8 to 10,Home Management,No
484,103,Fold Towels,1,Lay towel flat on surface,You're on a roll!,11 to 13,Home Management,No
485,103,Fold Towels,2,Fold towel in half,Looks neat!,11 to 13,Home Management,No
486,103,Fold Towels,3,Fold it again into a square,Almost done!,11 to 13,Home Management,No
487,103,Fold Towels,4,Stack neatly in pile,So organized!,11 to 13,Home Management,No
488,104,Fold Towels,1,Lay towel flat on surface,You're on a roll!,14 to 16,Home Management,No
489,104,Fold Towels,2,Fold towel in half,Looks neat!,14 to 16,Home Management,No
490,104,Fold Towels,3,Fold it again into a square,Almost done!,14 to 16,Home Management,No
491,104,Fold Towels,4,Stack neatly in pile,So organized!,14 to 16,Home Management,No
492,105,Get Dressed,1,Choose clothes,Great choice!,5 to 7,Dressing,Yes
493,105,Get Dressed,2,Put on underwear,Keep going!,5 to 7,Dressing,Yes
494,105,Get Dressed,3,Put on pants/skirt,Looking good!,5 to 7,Dressing,Yes
495,105,Get Dressed,4,Put on shirt,You're getting it!,5 to 7,Dressing,Yes
496,105,Get Dressed,5,Put on socks and shoes,Dressed and ready!,5 to 7,Dressing,Yes
497,106,Get Dressed,1,Choose clothes,Great choice!,8 to 10,Dressing,No
498,106,Get Dressed,2,Put on underwear,Keep going!,8 to 10,Dressing,No
499,106,Get Dressed,3,Put on pants/skirt,Looking good!,8 to 10,Dressing,No
500,106,Get Dressed,4,Put on shirt,You're getting it!,8 to 10,Dressing,No
501,106,Get Dressed,5,Put on socks and shoes,Dressed and ready!,8 to 10,Dressing,No
502,107,Get Dressed,1,Choose clothes,Great choice!,11 to 13,Dressing,No
503,107,Get Dressed,2,Put on underwear,Keep going!,11 to 13,Dressing,No
504,107,Get Dressed,3,Put on pants/skirt,Looking good!,11 to 13,Dressing,No
505,107,Get Dressed,4,Put on shirt,You're getting it!,11 to 13,Dressing,No
506,107,Get Dressed,5,Put on socks and shoes,Dressed and ready!,11 to 13,Dressing,No
507,108,Get Dressed,1,Choose clothes,Great choice!,14 to 16,Dressing,No
508,108,Get Dressed,2,Put on underwear,Keep going!,14 to 16,Dressing,No
509,108,Get Dressed,3,Put on pants/skirt,Looking good!,14 to 16,Dressing,No
510,108,Get Dressed,4,Put on shirt,You're getting it!,14 to 16,Dressing,No
511,108,Get Dressed,5,Put on socks and shoes,Dressed and ready!,14 to 16,Dressing,No
512,109,Give Dog A Treat,1,Pick a treat from the container,Your Dog will be happy!,8 to 10,Home Management,No
513,109,Give Dog A Treat,2,Call your Dog,You're a great friend!,8 to 10,Home Management,No
514,109,Give Dog A Treat,3,Gently give treat to Dog,What a helper!,8 to 10,Home Management,No
515,110,Give Dog A Treat,1,Pick a treat from the container,Your Dog will be happy!,11 to 13,Home Management,No
516,110,Give Dog A Treat,2,Call your Dog,You're a great friend!,11 to 13,Home Management,No
517,110,Give Dog A Treat,3,Gently give treat to Dog,What a helper!,11 to 13,Home Management,No
518,111,Give Dog A Treat,1,Pick a treat from the container,Your Dog will be happy!,14 to 16,Home Management,No
519,111,Give Dog A Treat,2,Call your Dog,You're a great friend!,14 to 16,Home Management,No
520,111,Give Dog A Treat,3,Gently give treat to Dog,What a helper!,14 to 16,Home Management,No
521,112,Give Cat A Treat,1,Pick a treat from the container,Your Cat will be happy!,8 to 10,Home Management,No
522,112,Give Cat A Treat,2,Call your Cat,You're a great friend!,8 to 10,Home Management,No
523,112,Give Cat A Treat,3,Gently give treat to Cat,What a helper!,8 to 10,Home Management,No
524,113,Give Cat A Treat,1,Pick a treat from the container,Your Cat will be happy!,11 to 13,Home Management,No
525,113,Give Cat A Treat,2,Call your Cat,You're a great friend!,11 to 13,Home Management,No
526,113,Give Cat A Treat,3,Gently give treat to Cat,What a helper!,11 to 13,Home Management,No
527,114,Give Cat A Treat,1,Pick a treat from the container,Your Cat will be happy!,14 to 16,Home Management,No
528,114,Give Cat A Treat,2,Call your Cat,You're a great friend!,14 to 16,Home Management,No
529,114,Give Cat A Treat,3,Gently give treat to Cat,What a helper!,14 to 16,Home Management,No
530,115,Hang Up Clothes,1,Hold shirt by shoulders,Nice and steady!,8 to 10,Dressing,No
531,115,Hang Up Clothes,2,Put shirt on hanger,Great coordination!,8 to 10,Dressing,No
532,115,Hang Up Clothes,3,Place hanger on closet rod,Hung up perfectly!,8 to 10,Dressing,No
533,116,Hang Up Clothes,1,Hold shirt by shoulders,Nice and steady!,11 to 13,Dressing,No
534,116,Hang Up Clothes,2,Put shirt on hanger,Great coordination!,11 to 13,Dressing,No
535,116,Hang Up Clothes,3,Place hanger on closet rod,Hung up perfectly!,11 to 13,Dressing,No
536,117,Hang Up Clothes,1,Hold shirt by shoulders,Nice and steady!,14 to 16,Dressing,No
537,117,Hang Up Clothes,2,Put shirt on hanger,Great coordination!,14 to 16,Dressing,No
538,117,Hang Up Clothes,3,Place hanger on closet rod,Hung up perfectly!,14 to 16,Dressing,No
539,118,Heat Up Food In Microwave,1,Place food in microwave container,You're doing awesome!,11 to 13,Meal Preparation,No
540,118,Heat Up Food In Microwave,2,Place food in microwave,Looks good!,11 to 13,Meal Preparation,No
541,118,Heat Up Food In Microwave,3,Set correct time,Nice timing!,11 to 13,Meal Preparation,No
542,118,Heat Up Food In Microwave,4,Press Start,You did it!,11 to 13,Meal Preparation,No
543,118,Heat Up Food In Microwave,5,Wait for beep,Be patient!,11 to 13,Meal Preparation,No
544,118,Heat Up Food In Microwave,6,Take food out of microwave,Ready to eat!,11 to 13,Meal Preparation,No
545,118,Heat Up Food In Microwave,7,Use oven mitts to remove food,So safe and smart!,11 to 13,Meal Preparation,No
546,119,Heat Up Food In Microwave,1,Place food in microwave container,You're doing awesome!,14 to 16,Meal Preparation,No
547,119,Heat Up Food In Microwave,2,Place food in microwave,Looks good!,14 to 16,Meal Preparation,No
548,119,Heat Up Food In Microwave,3,Set correct time,Nice timing!,14 to 16,Meal Preparation,No
549,119,Heat Up Food In Microwave,4,Press Start,You did it!,14 to 16,Meal Preparation,No
550,119,Heat Up Food In Microwave,5,Wait for beep,Be patient!,14 to 16,Meal Preparation,No
551,119,Heat Up Food In Microwave,6,Take food out of microwave,Ready to eat!,14 to 16,Meal Preparation,No
552,119,Heat Up Food In Microwave,7,Use oven mitts to remove food,So safe and smart!,14 to 16,Meal Preparation,No
553,120,Help Clear The Table,1,Pick up dirty dishes,You're so helpful!,8 to 10,Meal Preparation,No
554,120,Help Clear The Table,2,Carry dishes to the sink,Watch your steps!,8 to 10,Meal Preparation,No
555,120,Help Clear The Table,3,Put dishes in sink,Thank you for being careful!,8 to 10,Meal Preparation,No
556,120,Help Clear The Table,4,Wipe down the table,Look how clean it is!,8 to 10,Meal Preparation,No
557,121,Help Clear The Table,1,Pick up dirty dishes,You're so helpful!,11 to 13,Meal Preparation,No
558,121,Help Clear The Table,2,Carry dishes to the sink,Watch your steps!,11 to 13,Meal Preparation,No
559,121,Help Clear The Table,3,Put dishes in sink,Thank you for being careful!,11 to 13,Meal Preparation,No
560,121,Help Clear The Table,4,Wipe down the table,Look how clean it is!,11 to 13,Meal Preparation,No
561,122,Help Clear The Table,1,Pick up dirty dishes,You're so helpful!,14 to 16,Meal Preparation,No
562,122,Help Clear The Table,2,Carry dishes to the sink,Watch your steps!,14 to 16,Meal Preparation,No
563,122,Help Clear The Table,3,Put dishes in sink,Thank you for being careful!,14 to 16,Meal Preparation,No
564,122,Help Clear The Table,4,Wipe down the table,Look how clean it is!,14 to 16,Meal Preparation,No
565,123,Help Put Away Dishes,1,Take clean dishes from Dishwasher,You're doing great!,8 to 10,Home Management,No
566,123,Help Put Away Dishes,2,Sort dishes by type,You're doing great!,8 to 10,Home Management,No
567,123,Help Put Away Dishes,3,Dry with towel,Sparkly clean!,8 to 10,Home Management,No
568,123,Help Put Away Dishes,4,Place dishes in cabinet,You're doing great!,8 to 10,Home Management,No
569,123,Help Put Away Dishes,5,Close cabinet doors,You're doing great!,8 to 10,Home Management,No
570,124,Help Put Away Dishes,1,Take clean dishes from Dishwasher,You're doing great!,11 to 13,Home Management,No
571,124,Help Put Away Dishes,2,Sort dishes by type,You're doing great!,11 to 13,Home Management,No
572,124,Help Put Away Dishes,3,Dry with towel,Sparkly clean!,11 to 13,Home Management,No
573,124,Help Put Away Dishes,4,Place dishes in cabinet,You're doing great!,11 to 13,Home Management,No
574,124,Help Put Away Dishes,5,Close cabinet doors,You're doing great!,11 to 13,Home Management,No
575,125,Help Put Away Dishes,1,Take clean dishes from Dishwasher,You're doing great!,14 to 16,Home Management,No
576,125,Help Put Away Dishes,2,Sort dishes by type,You're doing great!,14 to 16,Home Management,No
577,125,Help Put Away Dishes,3,Dry with towel,Sparkly clean!,14 to 16,Home Management,No
578,125,Help Put Away Dishes,4,Place dishes in cabinet,You're doing great!,14 to 16,Home Management,No
579,125,Help Put Away Dishes,5,Close cabinet doors,You're doing great!,14 to 16,Home Management,No
580,126,Help Walk Dog,1,Get leash,You're doing great!,8 to 10,Home Management,Yes
581,126,Help Walk Dog,2,Attach leash to collar,You're doing great!,8 to 10,Home Management,Yes
582,126,Help Walk Dog,3,Walk with dog outside,You're doing great!,8 to 10,Home Management,Yes
583,126,Help Walk Dog,4,Return home and remove leash,You're doing great!,8 to 10,Home Management,Yes
584,126,Help Walk Dog,5,Put leash away,Everything in its place!,8 to 10,Home Management,Yes
585,127,Help Walk Dog,1,Get leash,You're doing great!,11 to 13,Home Management,No
586,127,Help Walk Dog,2,Attach leash to collar,You're doing great!,11 to 13,Home Management,No
587,127,Help Walk Dog,3,Walk with dog outside,You're doing great!,11 to 13,Home Management,No
588,127,Help Walk Dog,4,Return home and remove leash,You're doing great!,11 to 13,Home Management,No
589,127,Help Walk Dog,5,Put leash away,Everything in its place!,11 to 13,Home Management,No
590,128,Help Walk Dog,1,Get leash,You're doing great!,14 to 16,Home Management,No
591,128,Help Walk Dog,2,Attach leash to collar,You're doing great!,14 to 16,Home Management,No
592,128,Help Walk Dog,3,Walk with dog outside,You're doing great!,14 to 16,Home Management,No
593,128,Help Walk Dog,4,Return home and remove leash,You're doing great!,14 to 16,Home Management,No
594,128,Help Walk Dog,5,Put leash away,Everything in its place!,14 to 16,Home Management,No
595,129,Help Wash Dishes,1,Scrape leftover food into garbage,You're doing great!,8 to 10,Home Management,No
596,129,Help Wash Dishes,2,Get dish soap,Nice job!,8 to 10,Home Management,No
597,129,Help Wash Dishes,3,Get dish sponge,This will come in handy!,8 to 10,Home Management,No
598,129,Help Wash Dishes,4,Get dish towel,You're almost ready!,8 to 10,Home Management,No
599,129,Help Wash Dishes,5,Fill sink with hot Water and dish soap,Not too hot!,8 to 10,Home Management,No
600,129,Help Wash Dishes,6,Apply soap to sponge,You're doing great!,8 to 10,Home Management,No
601,129,Help Wash Dishes,7,Scrub dish,Scrub a dub dub!,8 to 10,Home Management,No
602,129,Help Wash Dishes,8,Rinse and dry dish,Nice and sparkly!,8 to 10,Home Management,No
603,130,Help Wash Dishes,1,Scrape leftover food into garbage,You're doing great!,11 to 13,Home Management,No
604,130,Help Wash Dishes,2,Get dish soap,You're doing great!,11 to 13,Home Management,No
605,130,Help Wash Dishes,3,Get dish sponge,Nice job!,11 to 13,Home Management,No
606,130,Help Wash Dishes,4,Get dish towel,You're almost ready!,11 to 13,Home Management,No
607,130,Help Wash Dishes,5,Fill sink with hot Water and dish soap,Not too hot!,11 to 13,Home Management,No
